name,supertype,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary
Aerial Assault,Sorcery,Common,3,White,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Ajani Strength of the Pride,Planeswalker,Mythic Rare,4,White,Legal,Legal,Legal,Legal,Legal,0,12.42,0
Ancestral Blade,Artifact,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Angel of Vitality,Creature,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,0,0.26,0
Angelic Gift,Enchantment,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Apostle of Purifying Light,Creature,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,0,0.16,0
Battalion Foot Soldier,Creature,Common,3,White,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Bishop of Wings,Creature,Rare,2,White,Legal,Legal,Legal,Legal,Legal,0,0.68,0
Brought Back,Instant,Rare,2,White,Legal,Legal,Legal,Legal,Legal,0,0.64,0
Cavalier of Dawn,Creature,Mythic Rare,5,White,Legal,Legal,Legal,Legal,Legal,0,2.55,0
Dawning Angel,Creature,Common,5,White,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Daybreak Chaplain,Creature,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Devout Decree,Sorcery,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,0,0.14,0
Disenchant,Instant,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Eternal Isolation,Sorcery,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Fencing Ace,Creature,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Gauntlets of Light,Enchantment,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Glaring Aegis,Enchantment,Common,1,White,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Gods Willing,Instant,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,0,0.18,0
Griffin Protector,Creature,Common,4,White,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Griffin Sentinel,Creature,Common,3,White,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Hanged Executioner,Creature,Rare,3,White,Legal,Legal,Legal,Legal,Legal,0,0.35,0
Herald of the Sun,Creature,Uncommon,6,White,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Inspired Charge,Instant,Common,4,White,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Inspiring Captain,Creature,Common,4,White,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Leyline of Sanctity,Enchantment,Rare,4,White,Legal,Legal,Legal,Legal,Legal,0,2.43,0
Loxodon Lifechanter,Creature,Rare,6,White,Legal,Legal,Legal,Legal,Legal,0,0.17,0
Loyal Pegasus,Creature,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Master Splicer,Creature,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Moment of Heroism,Instant,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Moorland Inquisitor,Creature,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.02,0
Pacifism,Enchantment,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Planar Cleansing,Sorcery,Rare,6,White,Legal,Legal,Legal,Legal,Legal,0,0.28,0
Raise the Alarm,Instant,Common,2,White,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Rule of Law,Enchantment,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Sephara Sky's Blade,Creature,Rare,7,White,Legal,Legal,Legal,Legal,Legal,0,0.65,0
Soulmender,Creature,Common,1,White,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Squad Captain,Creature,Common,5,White,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Starfield Mystic,Creature,Rare,2,White,Legal,Legal,Legal,Legal,Legal,0,1.12,0
Steadfast Sentry,Creature,Common,3,White,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Yoked Ox,Creature,Common,1,White,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Aether Gust,Instant,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.29,0
Agent of Treachery,Creature,Rare,7,Blue,Legal,Banned,Legal,Legal,Legal,0,5.92,0
Air Elemental,Creature,Uncommon,5,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Anticipate,Instant,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Atemsis All-Seeing,Creature,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,0,0.2,0
Befuddle,Instant,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Bone to Ash,Instant,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Boreal Elemental,Creature,Common,5,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Brineborn Cutthroat,Creature,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Captivating Gyre,Sorcery,Uncommon,6,Blue,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Cavalier of Gales,Creature,Mythic Rare,5,Blue,Legal,Legal,Legal,Legal,Legal,0,3.73,0
Cerulean Drake,Creature,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.17,0
Cloudkin Seer,Creature,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Convolute,Instant,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Drawn from Dreams,Sorcery,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.23,0
Dungeon Geists,Creature,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.22,0
Faerie Miscreant,Creature,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Flood of Tears,Sorcery,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,0,0.95,0
Fortress Crab,Creature,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Frilled Sea Serpent,Creature,Common,6,Blue,Legal,Legal,Legal,Legal,Legal,0,0.02,0
Frost Lynx,Creature,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Hard Cover,Enchantment,Uncommon,1,Blue,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Leyline of Anticipation,Enchantment,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,0,6.17,0
Masterful Replication,Instant,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,0,0.17,0
Metropolis Sprite,Creature,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Moat Piranhas,Creature,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Mu Yanling Sky Dancer,Planeswalker,Mythic Rare,3,Blue,Legal,Legal,Legal,Legal,Legal,0,2.19,0
Negate,Instant,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.16,0
Octoprophet,Creature,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Portal of Sanctuary,Artifact,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Renowned Weaponsmith,Creature,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Sage's Row Denizen,Creature,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Scholar of the Ages,Creature,Uncommon,7,Blue,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Sleep Paralysis,Enchantment,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.02,0
Spectral Sailor,Creature,Uncommon,1,Blue,Legal,Legal,Legal,Legal,Legal,0,0.28,0
Tale's End,Instant,Rare,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.92,0
Unsummon,Instant,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Warden of Evos Isle,Creature,Uncommon,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Winged Words,Sorcery,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,0,0.14,0
Yarok's Wavecrasher,Creature,Uncommon,4,Blue,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Zephyr Charge,Enchantment,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,0,0.02,0
Agonizing Syphon,Sorcery,Common,4,Black,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Audacious Thief,Creature,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Barony Vampire,Creature,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Bladebrand,Instant,Common,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Blightbeetle,Creature,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Blood Burglar,Creature,Common,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Blood for Bones,Sorcery,Uncommon,4,Black,Legal,Legal,Legal,Legal,Legal,0,0.3,0
Bloodsoaked Altar,Artifact,Uncommon,6,Black,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Bloodthirsty Aerialist,Creature,Uncommon,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.32,0
Bone Splinters,Sorcery,Common,1,Black,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Boneclad Necromancer,Creature,Common,5,Black,Legal,Legal,Legal,Legal,Legal,0,0.04,0
Cavalier of Night,Creature,Mythic Rare,5,Black,Legal,Legal,Legal,Legal,Legal,0,4.02,0
Disfigure,Instant,Uncommon,1,Black,Legal,Legal,Legal,Legal,Legal,0,0.1,0
Dread Presence,Creature,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,0,0.74,0
Duress,Sorcery,Common,1,Black,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Embodiment of Agonies,Creature,Rare,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.36,0
Epicure of Blood,Creature,Common,5,Black,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Fathom Fleet Cutthroat,Creature,Common,4,Black,Legal,Legal,Legal,Legal,Legal,0,0.05,0
Feral Abomination,Creature,Common,6,Black,Legal,Legal,Legal,Legal,Legal,0,0.03,0
Gorging Vulture,Creature,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Gravedigger,Creature,Uncommon,4,Black,Legal,Legal,Legal,Legal,Legal,0,0.09,0
Gruesome Scourger,Creature,Uncommon,5,Black,Legal,Legal,Legal,Legal,Legal,0,0.06,0
Knight of the Ebon Legion,Creature,Rare,1,Black,Legal,Legal,Legal,Legal,Legal,0,1.52,0
Legion's End,Sorcery,Rare,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.66,0
Leyline of the Void,Enchantment,Rare,4,Black,Legal,Legal,Legal,Legal,Legal,0,7.46,0
Mind Rot,Sorcery,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.08,0
Murder,Instant,Common,3,Black,Legal,Legal,Legal,Legal,Legal,0,0.11,0
Noxious Grasp,Instant,Uncommon,2,Black,Legal,Legal,Legal,Legal,Legal,0,0.16,0
Rotting Regisaur,Creature,Rare,3,Black,Legal,Legal,Legal,Legal,Legal,0,2.55,0
Sanitarium Skeleton,Creature,Common,1,Black,Legal,Legal,Legal,Legal,Legal,0,0.07,0
Scheming Symmetry,Sorcery,Rare,1,Black,Legal,Legal,Legal,Legal,Legal,0,2.9,0
