id,names,supertypes,MAX(set_year),rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary,edhrec
0,Aerial Assault,Sorcery,2019,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,184
1,Ajani Strength of the Pride,Planeswalker,2019,Mythic Rare,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,12.42,TRUE,2164
2,Ancestral Blade,Artifact,2019,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,392
3,Angel of Vitality,Creature,2019,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,1720
4,Angelic Gift,Enchantment,2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,946
5,Apostle of Purifying Light,Creature,2019,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,147
6,Battalion Foot Soldier,Creature,2019,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,3
7,Bishop of Wings,Creature,2019,Rare,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.68,FALSE,990
8,Brought Back,Instant,2019,Rare,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.64,FALSE,1870
9,Cavalier of Dawn,Creature,2019,Mythic Rare,5,White,Legal,Legal,Legal,Legal,Legal,TRUE,2.55,FALSE,2143
10,Dawning Angel,Creature,2019,Common,5,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,87
11,Daybreak Chaplain,Creature,2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,73
12,Devout Decree,Sorcery,2019,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,49
13,Disenchant,Instant,2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,7450
14,Eternal Isolation,Sorcery,2019,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,113
15,Fencing Ace,Creature,2019,Uncommon,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,501
16,Gauntlets of Light,Enchantment,2019,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,228
17,Glaring Aegis,Enchantment,2019,Common,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,203
18,Gods Willing,Instant,2019,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,4001
19,Griffin Protector,Creature,2019,Common,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,82
20,Griffin Sentinel,Creature,2019,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,86
21,Hanged Executioner,Creature,2019,Rare,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.35,FALSE,487
22,Herald of the Sun,Creature,2019,Uncommon,6,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,71
23,Inspired Charge,Instant,2019,Common,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,289
24,Inspiring Captain,Creature,2019,Common,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,79
25,Leyline of Sanctity,Enchantment,2019,Rare,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,2.43,FALSE,1867
26,Loxodon Lifechanter,Creature,2019,Rare,6,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,243
27,Loyal Pegasus,Creature,2019,Uncommon,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,205
28,Master Splicer,Creature,2019,Uncommon,4,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,416
29,Moment of Heroism,Instant,2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,349
30,Moorland Inquisitor,Creature,2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.02,FALSE,16
31,Pacifism,Enchantment,2020,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,2342
32,Planar Cleansing,Sorcery,2019,Rare,6,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.28,FALSE,3731
33,Raise the Alarm,Instant,2019,Common,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,1385
34,Rule of Law,Enchantment,2019,Uncommon,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,3386
35,Sephara Sky's Blade,Creature,2019,Rare,7,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.65,TRUE,3733
36,Soulmender,Creature,2019,Common,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,351
37,Squad Captain,Creature,2019,Common,5,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,66
38,Starfield Mystic,Creature,2019,Rare,2,White,Legal,Legal,Legal,Legal,Legal,TRUE,1.12,FALSE,3109
39,Steadfast Sentry,Creature,2019,Common,3,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,22
40,Yoked Ox,Creature,2019,Common,1,White,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,95
41,Aether Gust,Instant,2019,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.29,FALSE,85
42,Agent of Treachery,Creature,2019,Rare,7,Blue,Legal,Banned,Legal,Legal,Legal,TRUE,5.92,FALSE,5992
43,Air Elemental,Creature,2019,Uncommon,5,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,131
44,Anticipate,Instant,2020,Common,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,5553
45,Atemsis All-Seeing,Creature,2019,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.2,TRUE,753
46,Befuddle,Instant,2019,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,79
47,Bone to Ash,Instant,2019,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.03,FALSE,674
48,Boreal Elemental,Creature,2019,Common,5,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,54
49,Brineborn Cutthroat,Creature,2019,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,365
50,Captivating Gyre,Sorcery,2019,Uncommon,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,48
51,Cavalier of Gales,Creature,2019,Mythic Rare,5,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,3.73,FALSE,1531
52,Cerulean Drake,Creature,2019,Uncommon,2,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,318
53,Cloudkin Seer,Creature,2019,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,1385
54,Convolute,Instant,2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,653
55,Drawn from Dreams,Sorcery,2019,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.23,FALSE,2273
56,Dungeon Geists,Creature,2019,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.22,FALSE,653
57,Faerie Miscreant,Creature,2019,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.09,FALSE,740
58,Flood of Tears,Sorcery,2019,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.95,FALSE,5359
59,Fortress Crab,Creature,2019,Common,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,73
60,Frilled Sea Serpent,Creature,2019,Common,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.02,FALSE,66
61,Frost Lynx,Creature,2020,Common,3,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.04,FALSE,302
62,Hard Cover,Enchantment,2019,Uncommon,1,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,72
63,Leyline of Anticipation,Enchantment,2019,Rare,4,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,6.17,FALSE,18407
64,Masterful Replication,Instant,2019,Rare,6,Blue,Legal,Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,803
